frame,time_s,detected,confidence,servo_count,servo_bend_angle_deg,servo_axis_angle_deg,servo_chord_angle_deg,servo_start_angle_deg,servo_end_angle_deg,servo_lateral_error_px,cluster_center_x,cluster_center_y,candidate_count,servo1_area_px,servo1_x,servo1_y,servo2_area_px,servo2_x,servo2_y,servo3_area_px,servo3_x,servo3_y,servo4_area_px,servo4_x,servo4_y,servo5_area_px,servo5_x,servo5_y,servo6_area_px,servo6_x,servo6_y
0,0.0,1,0.9905555555555555,6,8.120296856090945,86.25839061022212,87.63333442470481,89.22315568102444,97.34345253711538,23.466082898084156,496.64910380045575,206.7602055867513,31,117.0,498.0,73.5,301.5,475.0384521484375,86.19230651855469,255.0,500.0,221.0,204.5,513.095703125,258.5867919921875,323.0,486.30279541015625,298.9468994140625,582.0,507.4576721191406,302.3352355957031
3,0.2,1,1.0,6,-16.83052521264159,95.49453090168956,91.71565762054107,99.44961418022756,82.61908896758597,42.78034191419011,477.5769297281901,186.44171524047852,22,64.0,480.0,82.0,1267.5,522.5,92.0,652.5,474.03662109375,117.82927703857422,561.0,449.46600341796875,174.18112182617188,189.0,467.43585205078125,304.32452392578125,1288.0,472.0231018066406,348.31536865234375
6,0.4,1,1.0,6,-65.87177687811247,96.06545908652703,97.48405241239995,139.5661640350427,73.69438715693023,61.2216145070998,470.3020477294922,220.91890716552734,17,166.5,505.5,112.0,87.5,503.25250244140625,140.0247344970703,80.0,435.96923828125,171.24615478515625,259.5,434.8231201171875,227.4154052734375,280.0,469.134033203125,316.4484558105469,1206.0,473.1333923339844,358.3786926269531
9,0.6,1,0.9736111111111111,6,15.652685972033723,76.27035167952764,75.2397602086856,75.01663401953724,90.66931999157096,26.794975250523915,476.618647257487,309.18470509847003,24,300.5,424.55889892578125,131.2647247314453,50.5,493.0000305175781,296.0000305175781,182.0,476.3267822265625,324.689697265625,43.5,501.6764831542969,318.79412841796875,1056.5,463.6496887207031,364.8596496582031,119.5,500.5,419.5
12,0.8,1,1.0,6,36.491215360062334,84.79645771111673,84.4622264984858,62.92368880719274,99.41490416725507,59.80014170877838,450.4466413140587,271.2241615332536,32,121.0,414.8653869628906,85.8269271850586,135.5,431.0,162.0,200.0,489.0076904296875,230.8615264892578,137.0,467.5643083335709,332.9170440896584,1074.0,450.81549072265625,373.44024658203125,133.5,449.4269714355469,442.2992248535156
15,1.0,1,1.0,6,102.31554160757963,143.11492743391503,133.6470036753514,87.01945685555859,-170.66500153686178,202.2496441688248,279.6632029215495,352.3755518595378,21,215.5,428.3065185546875,122.65690612792969,689.0,479.8988952636719,205.5819091796875,1069.5,442.7738037109375,400.5144958496094,604.5,159.5,493.0,434.0,81.0,411.5,1089.5,86.5,481.0
18,1.2,1,1.0,6,20.378793593316715,88.59686660361193,91.59466423012921,95.86504752509363,116.24384111841034,67.4371675928691,455.99508606862514,250.0079819277364,39,245.0,458.0098876953125,86.90098571777344,244.0,429.1816711425781,90.23040771484375,359.5,443.7781641168289,225.4450625869263,263.5,520.0007934570312,283.471435546875,208.5,436.5,385.5,1458.0,448.5,428.5
21,1.4,1,1.0,6,0.27569913879534624,94.25789938727836,94.99831285750172,107.47915604611342,107.75485518490876,38.151711549731246,470.00377315622774,241.2044838734906,27,244.0,487.7026672363281,75.5601806640625,347.0,468.4917907714844,94.90983581542969,263.0,463.87072243346006,151.24144486692015,206.5,508.2554626464844,278.45013427734375,252.0,436.13543701171875,404.0631103515625,1575.5,455.5665588378906,443.002197265625
24,1.6,1,1.0,6,-23.110969550547402,10.852827162726811,25.405851613261877,12.227069614960655,-10.883899935586745,212.9122776754002,215.0688387552897,395.8720194498698,37,661.0,87.9167709350586,279.0690002441406,281.5,79.5,423.5,192.5,123.53395080566406,286.7873229980469,2424.5,99.4232177734375,520.2412719726562,323.5,447.3580322265625,413.3170471191406,1205.0,452.6810607910156,452.3174743652344
27,1.8,1,1.0,6,-21.731267523395502,96.86103279447583,97.43703516804524,121.18926792130524,99.45800039790974,29.218033193546262,473.20087520714964,271.7362245039506,24,4104.0,496.0663146972656,103.94441223144531,110.0,507.7772727272727,146.07272727272726,102.0,458.5,166.0,98.5,473.5,318.5,202.5,455.0,426.5,1350.0,448.3616638183594,469.40020751953125
30,2.0,1,0.8452777777777778,6,65.78257550252046,91.25519368932713,95.43160621046484,98.24427044158672,164.02684594410718,96.75011088269488,466.84066157795934,407.9474462861869,34,190.0,475.0487976074219,92.56097412109375,112.0,450.3000793457031,449.9000549316406,85.0,421.0880432128906,464.98406982421875,111.5,481.5,475.0,141.5,535.6201413427561,477.64134275618375,881.5,437.4869079589844,487.5982360839844
33,2.2,1,0.9177777777777778,6,42.14887102423319,151.64876517961272,147.68558257749905,110.88055849047342,153.0294295147066,28.591706374445295,459.91045618427773,493.3641959951567,32,203.0,508.27088244207977,444.916066061687,114.5,521.2336244541485,470.5480349344978,108.5,492.4545493411578,486.3771567630328,93.5,465.529996657754,487.47549715909093,1047.0,432.0,519.5,85.5,339.9736842105263,551.3684210526316
36,2.4,1,0.9566666666666667,6,51.59077459184745,98.03611016657207,105.31436974658284,94.18284146894693,145.77361606079438,127.40834543102734,432.1999003092448,454.71563720703125,25,86.5,458.0,149.0,68.5,498.5,483.5,86.5,433.5,484.0,139.5,419.49993896484375,508.0,1276.0,437.699462890625,545.7938232421875,65.0,346.0,558.0
39,2.6,1,0.9822222222222222,6,10.23198550079799,107.26738562447086,107.35192566207736,115.96668230749613,126.19866780829412,51.09394038796951,489.04396565755206,400.09157307942706,23,85.5,560.5,194.0,81.0,485.6600341796875,322.3800354003906,104.5,476.8461608886719,365.76922607421875,93.5,538.95947265625,434.2567443847656,210.0,426.7500305175781,522.25,1193.5,445.548095703125,561.8934326171875
42,2.8,1,1.0,6,-1.0268450206355624,131.90768528084118,133.22924980287723,155.24697467553133,154.22012965489577,182.35517378226064,184.25212605794272,349.5885950724284,28,677.5,455.0,128.5,493.0,85.73170471191406,255.0853729248047,575.5,98.65811157226562,292.7986755371094,431.0,197.5,446.5,350.0,147.0,491.5,950.5,121.62294006347656,483.14752197265625
45,3.0,1,1.0,6,-10.58054265484877,95.9144985228113,91.21534536104343,91.11822044682316,80.53767779197439,25.035643693789513,454.17564392089844,528.4948679606119,26,83.5,461.65386962890625,437.7691955566406,45.0,463.5,458.5,60.5,460.0,522.5,102.5,448.5,553.0,1458.5,433.3999938964844,589.2000122070312,95.0,458.0,610.0
48,3.2,1,1.0,6,-0.29105593441406086,95.36317185713587,97.53640997316386,99.46232220802563,99.17126627361156,65.30640719169249,453.8725179036458,226.41948445638022,37,108.5,488.5,85.0,118.0,421.5,93.5,134.0,479.0,142.0,2278.0,487.71893310546875,185.74806213378906,246.0,428.29205322265625,236.07920837402344,1136.0,418.22412109375,616.1896362304688
51,3.4,1,0.38416666666666666,6,-44.74136358669172,118.91321617188932,118.18506558920305,137.70789389864223,92.9665303119505,94.27989452230064,415.8886139043172,599.2536356099446,28,84.5,496.2059020996094,533.6764526367188,68.5,395.5,522.0,120.5,404.3492431640625,617.2364501953125,162.0,427.0,641.5,56.0,346.5,616.0,200.0,425.7765381622314,665.1089108276367
54,3.6,1,0.9241666666666667,6,-72.61340411471151,116.51138314693728,114.63375008823606,144.809302247879,72.19589813316749,77.19009494843831,443.41151428222656,561.18408203125,24,26.0,533.0,466.5,53.5,483.0,450.5,34.5,407.5,555.0,70.0,403.5,577.0,46.5,397.5,640.0,1433.0,435.9690856933594,678.1044921875
57,3.8,1,1.0,6,-4.1224411680694,93.24757653664739,96.25660956001002,85.13659541139461,81.01415424332521,73.00111582658451,426.9981405404898,538.9107827211038,18,74.5,462.9261779785156,433.1884460449219,56.0,386.0,465.0,65.0,467.17692307692306,483.1461538461538,100.5,403.0768737792969,497.6153869628906,142.5,408.5588684082031,659.7647705078125,1474.0,434.25,694.7499389648438
60,4.0,1,0.8025,6,-36.24481622786638,94.6372384961419,98.57801551912301,126.3793354612453,90.13451923337892,44.66475498249484,431.75384860568573,527.077141655816,25,56.0,461.300048828125,414.90008544921875,94.5,433.02435302734375,437.719482421875,37.5,404.5,492.0,45.5,418.5,550.0,99.0,455.0531819661458,566.8546956380209,1112.0,418.1455078125,700.9885864257812
63,4.2,1,0.7144444444444444,6,-12.538956229169827,115.21131495253813,121.4196042982472,145.69134596317522,133.1523897340054,61.14365855039989,455.7719914663915,605.9856616895444,29,100.0,559.8649758911133,455.16,160.5,515.0169118720794,471.00390910211013,99.0,437.0,539.0,118.5,408.5,711.5,727.0,420.75006103515625,731.7500610351562,81.0,393.5,727.5
66,4.4,1,0.04962962962962962,4,-41.577400458824485,154.6376974352283,161.62780666075955,176.1214754971523,134.5440750383278,60.687639416604924,491.875,510.5,13,34.5,566.5,509.5,27.5,523.0,460.0,37.0,448.5,517.5,35.0,429.5,555.0,,,,,,
69,4.6,1,0.12472222222222222,6,-27.30228355591464,140.63966996987944,157.945742289597,-156.1142650056915,176.58345143839384,69.7554297587837,493.8406524658203,484.0992024739583,18,46.5,585.5,450.0,54.5,518.5,437.0,19.5,496.7438659667969,410.69512939453125,30.0,517.800048828125,521.4000854492188,27.5,454.0,556.5,46.5,390.5,529.0
72,4.8,1,0.8738888888888889,6,-37.52979770258379,104.06589173432403,110.86982581072682,138.66746437122856,101.13766666864477,127.37228554154693,459.61366271972656,635.2659861246744,15,43.5,560.20751953125,485.2264099121094,26.5,421.5,491.5,43.5,477.75006103515625,557.7500610351562,27.0,463.5,661.5,108.0,402.7243957519531,794.1194458007812,1324.5,432.0,821.5
75,5.0,1,0.11828703703703705,5,79.50691270827645,146.22155784930968,166.72573531162828,143.27617816491687,-137.2169091268067,111.0057763722093,454.36004638671875,496.2213073730469,18,38.0,584.7866821289062,433.5254211425781,90.0,454.0,431.0,18.0,430.0,549.0,51.0,441.0,581.5,58.5,362.0135498046875,486.08111572265625,,,
78,5.2,1,0.5580555555555555,6,-26.2614077540141,92.821235577366,93.16494450207175,102.46192235799474,76.20051460398064,30.86489791902237,427.3441172855001,688.5883402936337,33,106.5,451.6525027852663,488.5029421524263,129.0,418.75,524.5,42.0,433.9121398925781,568.7769775390625,65.0,424.0,833.5,70.0,404.75006103515625,854.2501220703125,592.0,431.0,862.0
81,5.4,1,0.18416666666666665,2,nan,107.15690846901467,107.15690846901467,nan,nan,0.0,441.52590016954423,811.0437500223572,9,39.0,464.20001220703125,737.6000366210938,955.5,418.8517881320572,884.4874634236206,,,,,,,,,,,,
84,5.6,1,0.0525,2,nan,103.09006808548436,103.09006808548436,nan,nan,0.0,434.8103485107422,161.77586364746094,14,70.0,451.5,90.0,213.5,418.1206970214844,233.55172729492188,,,,,,,,,,,,
87,5.8,1,0.058472222222222224,3,nan,19.04884370716755,21.370622269343183,nan,nan,82.33400837094128,380.1666666666667,156.83333333333334,15,58.5,281.0,147.5,103.0,406.0,108.0,49.0,453.5,215.0,,,,,,,,,
90,6.0,1,0.1836111111111111,3,nan,77.47079924466554,77.22913832378781,nan,nan,12.587097360483272,433.4744567871094,185.2214101155599,18,28.0,429.0,146.5,22.0,425.5,188.0,611.0,445.9233703613281,221.1642303466797,,,,,,,,,
93,6.2,1,0.18222222222222223,6,4.912105983599076,149.66026438286636,149.44186495413337,163.52036638542256,168.43247236902164,20.307882208749223,422.77248826526255,502.38483020324617,22,25.5,505.0999755859375,459.300048828125,55.0,474.7931213378906,470.01727294921875,83.5,428.5945739746094,481.9324035644531,92.5,409.45908665012666,535.9302236196157,25.0,361.5,520.5,46.5,357.18817204301075,546.6290322580645
96,6.4,1,0.19879629629629628,2,nan,99.28173476395095,99.28173476395095,nan,nan,0.0,437.58837890625,932.8856201171875,15,18.0,449.5,860.0,1055.5,425.6767578125,1005.771240234375,,,,,,,,,,,,
99,6.6,1,0.08958333333333333,5,-43.653179846293824,158.08813937063385,158.21472158584325,-178.60777014229532,137.73905001141085,30.23808471228745,494.35087940449614,469.4202711455676,13,69.5,563.2799072265625,451.7340087890625,20.5,516.0,464.0,49.0,486.4744897959184,449.8673469387755,29.5,483.5,473.5,25.0,422.5,508.0,,,
102,6.8,1,0.011481481481481481,2,nan,145.40771131249008,145.40771131249005,nan,nan,0.0,479.0,495.5,9,43.0,508.0,475.5,19.0,450.0,515.5,,,,,,,,,,,,
105,7.0,1,0.09907407407407406,4,-51.02457558283527,162.9719451711174,164.1423800235344,-172.81975852334475,136.15566589381996,57.58278552361683,462.8660968660969,459.15847578347575,14,24.5,555.5,459.5,44.0,471.5,423.5,175.5,441.46438746438747,445.1339031339031,23.5,383.0,508.5,,,,,,
108,7.2,1,0.10537037037037036,4,-3.0500621130859855,76.59845206399245,55.432208155936806,89.46949860837854,86.41943649529256,47.75423622116974,382.9268292682927,136.85670922442182,21,26.0,356.0,105.50000762939453,184.5,406.7073170731707,94.92682926829268,49.5,356.5,159.5,24.5,412.5,187.5,,,,,,
111,7.4,1,0.02046296296296296,2,nan,56.88865803962798,56.88865803962798,nan,nan,0.0,463.75,500.75,9,57.0,452.5,483.5,53.5,475.0,518.0,,,,,,,,,,,,
114,7.6,1,0.02462962962962963,2,nan,35.32664127635101,35.32664127635102,nan,nan,0.0,383.00001525878906,165.00001525878906,12,49.5,331.5000305175781,128.50003051757812,83.5,434.5,201.5,,,,,,,,,,,,
117,7.8,1,0.007962962962962963,2,nan,-26.095424157388322,-26.095424157388344,nan,nan,0.0,294.25,602.5,16,21.5,282.0,608.5,21.5,306.5,596.5,,,,,,,,,,,,
120,8.0,1,0.36027777777777775,6,-89.28333746212235,16.48958146903439,29.308261345813897,93.8401360820712,4.5567986199488555,214.13010948446498,178.98074737427726,464.4757584264039,18,126.0,92.8844842456636,306.8545505584232,168.5,79.0,431.5,60.0,77.0,543.5,112.5,157.0,503.0,129.0,178.5,472.5,52.5,489.5,529.5
123,8.2,1,0.009074074074074073,2,nan,85.74115387782966,85.74115387782966,nan,nan,0.0,470.25,971.0,14,28.0,468.5,947.5,21.0,472.0,994.5,,,,,,,,,,,,
126,8.4,1,0.18796296296296294,2,nan,141.04816956811607,141.04816956811607,nan,nan,0.0,473.16783142089844,1253.96923828125,16,23.0,485.5,1244.0,992.0,460.8356628417969,1263.9384765625,,,,,,,,,,,,
129,8.6,1,0.09268518518518518,2,nan,63.12285917675024,63.12285917675023,nan,nan,0.0,457.6430358886719,1272.5875854492188,10,123.5,451.87066650390625,1261.1983642578125,377.0,463.4154052734375,1283.976806640625,,,,,,,,,,,,
132,8.8,1,0.3151388888888889,3,nan,37.05222821573966,33.57185081715854,nan,nan,39.63217047869025,431.0570882161458,183.62556966145834,14,44.0,341.0,108.0,796.5,443.1712646484375,223.376708984375,294.0,509.0,219.5,,,,,,,,,
135,9.0,1,0.07736111111111112,3,nan,51.42960811989221,52.8001878841817,nan,nan,35.04740362727428,446.3333333333333,222.16666666666666,17,97.0,440.0,194.5,20.0,427.5,236.0,161.5,471.5,236.0,,,,,,,,,
138,9.2,1,1.0,6,-1.1827756249202537,115.1643406349028,117.9758472698503,141.1591630291431,139.97638740422283,97.29509841302583,144.25,345.2560221354167,10,37.0,283.0,133.0,103.0,179.89691162109375,245.26806640625,1253.0,90.5,288.0,599.0,152.60308837890625,455.76806640625,573.0,81.0,431.5,78.5,78.5,518.0
141,9.4,1,0.08958333333333333,3,nan,35.38947261862003,37.32446371010537,nan,nan,11.96316142600345,365.7735221841056,158.12820960585546,20,75.0,323.0,120.5,72.0,329.5,140.5,175.5,444.820566552317,213.38462881756644,,,,,,,,,
144,9.6,1,0.15314814814814814,4,17.697605209714197,48.04100317538017,44.59933674420785,57.44378034236114,75.14138555207533,32.29504844377278,405.9189224243164,195.23648834228516,12,44.0,334.0,117.5,105.0,435.5,199.5,61.0,412.1756896972656,239.94595336914062,203.5,442.0,224.0,,,,,,
147,9.8,1,1.0,6,-87.94110058098941,112.88348218480682,109.31467970561978,155.22486566419602,67.2837650832066,144.68742166826152,161.31730016072592,307.0222752888997,12,84.0,297.0,154.0,151.5,194.45205688476562,238.29452514648438,705.0,127.99998474121094,231.99998474121094,313.5,92.25000762939453,300.75,361.5,80.5,417.0,2198.0,175.70175170898438,500.0891418457031
150,10.0,1,0.4460648148148148,5,-60.37452766548603,58.23281184753076,62.06153121989627,89.68169338854864,29.307165723062614,83.45070225206226,130.1999984741211,467.5,10,127.0,79.5,323.0,424.0,80.99999237060547,417.0,324.0,80.5,503.0,55.5,195.0,516.0,33.0,215.0,578.5,,,
153,10.2,1,0.026805555555555555,3,nan,42.792075349226394,45.98965591621413,nan,nan,53.98585948454766,473.0,174.0,13,40.0,427.5,101.0,35.5,436.0,187.5,21.0,555.5,233.5,,,,,,,,,
156,10.4,1,0.012222222222222221,2,nan,30.768898554257163,30.76889855425718,nan,nan,0.0,214.72999572753906,106.3599853515625,8,26.0,154.5,70.5,40.0,274.9599914550781,142.219970703125,,,,,,,,,,,,
159,10.6,1,0.1275925925925926,4,-7.661041700294199,49.10431730727533,61.258192671597165,43.62690817580598,35.96586647551178,49.80614112547759,396.58914947509766,158.57149124145508,15,97.5,379.34100341796875,110.21675109863281,42.5,346.0,153.0,53.5,420.6617126464844,149.6029510498047,151.0,440.3538818359375,221.4662628173828,,,,,,
162,10.8,1,0.6666666666666666,4,19.635276819506807,34.76835069729998,30.337659489858275,32.53224781506826,52.16752463457507,56.08265908169223,427.38107239039596,168.15941509595663,14,88.0,311.4153747558594,114.5230712890625,169.5,420.53982300884957,113.40560471976401,119.5,464.52313232421875,212.18466186523438,2034.0,513.0459594726562,232.52432250976562,,,,,,
165,11.0,1,1.0,6,-39.95085689872826,117.86258324986514,117.82917699840817,119.96128729631792,80.01043039758966,69.12135990853679,151.2270622253418,394.65489705403644,12,44.0,286.0,127.5,593.0,195.5,447.0,353.5,122.00001525878906,412.00006103515625,1018.5,80.36235809326172,428.9293212890625,291.0,131.5,457.5,91.5,92.0,495.0
168,11.2,1,0.81,6,-22.357885126574985,77.4701955635667,83.01982064054235,109.79888280887556,87.44099768230058,98.76442230356439,146.5416692097982,411.9583384195964,17,67.5,152.75001525878906,217.25003051757812,576.5,87.5,317.0,170.0,78.5,423.5,83.0,189.0,456.5,406.0,178.5,511.5,155.0,193.0,546.0
171,11.4,1,0.020555555555555556,2,nan,67.38013505195957,67.38013505195957,nan,nan,0.0,497.75,1594.5,10,59.0,494.0,1585.5,52.0,501.5,1603.5,,,,,,,,,,,,
174,11.6,1,0.06962962962962962,4,6.44651367211479,134.26515497782788,139.16047671055503,112.54306100005789,118.98957467217268,51.42020285676613,259.8681106567383,179.0033302307129,8,19.0,324.5,117.5,18.0,241.38462829589844,143.92308044433594,54.0,280.5,223.5,97.0,193.0878143310547,231.09024047851562,,,,,,
177,11.8,1,0.023055555555555555,3,nan,-158.29232634423352,-157.41953503928139,nan,nan,15.692341114306336,308.0941467285156,111.13236490885417,12,36.0,395.7500305175781,153.24998474121094,20.0,334.0135192871094,110.5810775756836,27.0,194.51889038085938,69.56603240966797,,,,,,,,,
180,12.0,1,0.49333333333333335,6,-4.958418391244862,-161.8389464813458,-161.97544655208918,-156.02445067016293,-160.9828690614078,48.87069380024045,374.7711588541667,152.85739262898764,14,75.0,637.5,229.0,570.0,447.56488037109375,218.5891876220703,82.5,434.0,138.5,28.0,304.862060546875,123.65516662597656,59.5,270.0,135.5,73.0,154.70001220703125,71.9000015258789
183,12.2,1,0.2512962962962963,4,-43.419056995056394,-157.2894121967602,-155.5175141026529,-138.91824886406738,177.6626941408762,22.126514287904662,478.0,223.75,16,192.5,503.5,245.5,383.0,496.5,218.0,33.5,464.5,211.5,69.5,447.5,220.0,,,,,,
186,12.4,1,0.01898148148148148,2,nan,163.1651639857796,163.1651639857796,nan,nan,0.0,386.7353057861328,141.30882263183594,15,45.0,417.5,132.0,57.5,355.9706115722656,150.61764526367188,,,,,,,,,,,,
189,12.6,1,0.9186111111111112,6,-89.4730225931819,-173.88050392295185,-174.4561684000268,-159.8014185412576,110.72555886556054,133.6280279016208,258.97620900472003,169.1890729268392,13,1145.0,496.1036682128906,234.43295288085938,294.0,322.2381896972656,120.5783920288086,21.0,243.5,141.5,20.0,195.5,71.0,25.5,150.01539611816406,247.1230926513672,148.0,146.5,200.5
192,12.8,1,1.0,6,7.134213245699158,-108.59052316623172,-113.54095560080258,-114.48965730663271,-107.35544406093355,115.7899854800952,133.88623682657877,440.0892639160156,19,90.5,224.0,563.5,1110.5,85.5,535.5,3362.0,170.53912353515625,446.1346740722656,113.5,140.5,405.5,250.0,79.49999237060547,403.4999694824219,1154.0,103.27830505371094,286.40093994140625
195,13.0,1,0.018148148148148146,2,nan,-133.02070552856983,-133.02070552856983,nan,nan,0.0,517.5735168457031,1717.0441284179688,8,47.5,524.1470336914062,1724.0882568359375,50.5,511.0,1710.0,,,,,,,,,,,,
198,13.2,1,0.009814814814814814,2,nan,164.35775354279127,164.35775354279127,nan,nan,0.0,500.0,1727.5,16,34.0,512.5,1724.0,19.0,487.5,1731.0,,,,,,,,,,,,
201,13.4,1,0.38666666666666666,6,-44.96611053209807,-163.83629597243328,-160.88963247587623,-148.1340223063963,166.89986716150563,69.87979611115155,354.79957071940106,196.4073486328125,12,45.0,527.5,251.5,341.5,492.0103759765625,255.37586975097656,20.5,379.5,159.5,186.0,272.1470642089844,142.08822631835938,46.5,221.63998413085938,219.47999572753906,56.5,236.0,150.5
204,13.6,1,0.03666666666666667,3,nan,-128.06033269349666,-121.6607510966366,nan,nan,36.39098000618136,402.66925048828125,131.31282552083334,12,81.5,409.5,165.5,32.0,426.00775146484375,122.9384765625,18.5,372.5,105.5,,,,,,,,,
207,13.8,1,0.6666666666666666,4,58.19338815358776,-165.53500719472427,-172.10898993412852,159.88907981066106,-141.91753203575115,48.715901891237124,144.98973846435547,448.6547546386719,11,908.5,201.20895385742188,436.8690490722656,378.0,155.75,479.7499694824219,115.0,143.5,458.0,420.0,79.5,420.0,,,,,,
210,14.0,1,0.31527777777777777,6,-60.37465591062971,170.88025159879658,176.82016988013575,-148.88041205961977,150.74493202975052,133.90462736877032,278.5932210286458,190.11471557617188,15,418.5,441.5,235.0,29.0,313.5,108.0,22.5,315.1800231933594,158.74000549316406,38.0,279.3793029785156,175.9482879638672,29.5,177.5,211.5,30.0,144.5,251.5
213,14.2,0,0.0,,,,,,,,,,14,,,,,,,,,,,,,,,,,,
216,14.4,1,0.009907407407407406,2,nan,154.83592502670572,154.83592502670572,nan,nan,0.0,312.75,121.0,9,22.0,350.0,103.5,31.5,275.5,138.5,,,,,,,,,,,,
219,14.6,1,0.025277777777777777,3,nan,177.24251670363645,176.4753649383013,nan,nan,14.584679019223165,595.6666666666666,219.83333333333334,10,36.0,660.0,211.0,32.0,605.0,229.0,23.0,522.0,219.5,,,,,,,,,
222,14.8,1,0.13537037037037036,4,-28.07691233467108,-163.34638392316742,-137.36645088538364,-155.12830359634242,176.79478406898653,44.90663153442143,335.74549042551143,138.10579591048392,16,76.0,358.0588659989206,168.8078119378341,179.0,367.0,116.0,61.5,313.423095703125,148.11537170410156,49.0,304.5,119.5,,,,,,
225,15.0,1,0.008888888888888889,2,nan,-156.90586840345586,-156.90586840345586,nan,nan,0.0,730.25,247.75,6,30.0,796.5,276.0,18.0,664.0,219.5,,,,,,,,,,,,
